time,latitude,longitude,mean_analysed_sst
2016-01-01,-58.98,-0.98,-0.43
2016-01-01,-58.98,0.02,-0.36
2016-01-01,-58.98,1.02,-0.36
2016-01-01,-58.98,2.02,-0.3
2016-01-01,-58.98,3.02,-0.22
2016-01-01,-58.98,4.03,-0.23
2016-01-01,-58.98,5.03,-0.11
2016-01-01,-58.98,6.02,-0.06
2016-01-01,-58.98,7.02,-0.02
2016-01-01,-58.98,8.02,0.03
2016-01-01,-58.98,9.02,-0.03
2016-01-01,-58.98,10.02,-0.03
2016-01-01,-58.98,11.02,-0.02
2016-01-01,-58.98,12.02,0.14
2016-01-01,-58.98,13.02,0.15
2016-01-01,-58.98,14.02,0.14
2016-01-01,-58.98,15.02,0.11
2016-01-01,-58.98,16.02,0.17
2016-01-01,-58.98,17.02,0.2
2016-01-01,-58.98,18.02,0.08
2016-01-01,-58.98,19.02,0.22
2016-01-01,-58.98,20.02,0.41
2016-01-01,-58.98,21.02,0.54
2016-01-01,-58.98,22.02,0.74
2016-01-01,-58.98,23.02,0.91
2016-01-01,-58.98,24.02,0.92
2016-01-01,-58.98,25.02,1.06
2016-01-01,-58.98,26.02,1.07
2016-01-01,-58.98,27.02,1.04
2016-01-01,-58.98,28.02,1.16
2016-01-01,-58.98,29.02,1.08
2016-01-01,-58.98,30.02,1.04
2016-01-01,-58.98,31.02,1.17
2016-01-01,-58.98,32.02,1.21
2016-01-01,-58.98,33.02,1.2
2016-01-01,-58.98,34.02,1.34
2016-01-01,-58.98,35.02,1.26
2016-01-01,-58.98,36.02,0.96
2016-01-01,-58.98,37.02,1.07
2016-01-01,-58.98,38.02,1.24
2016-01-01,-58.98,39.02,1.42
2016-01-01,-58.98,40.02,1.46
2016-01-01,-58.98,41.02,1.23
2016-01-01,-58.98,42.02,0.99
2016-01-01,-58.98,43.02,0.92
2016-01-01,-58.98,44.02,0.93
2016-01-01,-58.98,45.02,0.89
2016-01-01,-58.98,46.02,0.9
2016-01-01,-58.98,47.02,0.74
2016-01-01,-58.98,48.02,0.81
2016-01-01,-58.98,49.02,0.88
2016-01-01,-58.98,50.02,0.85
2016-01-01,-58.98,51.02,1.01
2016-01-01,-58.98,52.02,0.89
2016-01-01,-58.98,53.02,0.83
2016-01-01,-58.98,54.02,1.03
2016-01-01,-58.98,55.02,1.11
2016-01-01,-58.98,56.02,1.08
2016-01-01,-58.98,57.02,1.0
2016-01-01,-58.98,58.02,0.95
2016-01-01,-58.98,59.02,0.8
2016-01-01,-58.98,60.02,0.95
2016-01-01,-58.98,61.02,0.92
2016-01-01,-58.98,62.02,1.18
2016-01-01,-58.98,63.02,1.27
2016-01-01,-58.98,64.03,1.14
2016-01-01,-58.98,65.03,1.27
2016-01-01,-58.98,66.03,1.53
2016-01-01,-58.98,67.03,1.17
2016-01-01,-58.98,68.03,0.94
2016-01-01,-58.98,69.03,1.0
2016-01-01,-58.98,70.03,0.93
2016-01-01,-58.98,71.03,0.88
2016-01-01,-58.98,72.03,0.88
2016-01-01,-58.98,73.03,0.57
2016-01-01,-58.98,74.03,0.44
2016-01-01,-58.98,75.03,0.48
2016-01-01,-58.98,76.03,0.41
2016-01-01,-58.98,77.03,0.42
2016-01-01,-58.98,78.03,0.56
2016-01-01,-58.98,79.03,0.6
2016-01-01,-58.98,80.03,0.64
2016-01-01,-58.98,81.03,0.57
2016-01-01,-58.98,82.02,0.55
2016-01-01,-58.98,83.02,0.55
2016-01-01,-58.98,84.02,0.67
2016-01-01,-58.98,85.02,0.76
2016-01-01,-58.98,86.02,1.53
2016-01-01,-58.98,87.02,1.8
2016-01-01,-58.98,88.02,1.74
2016-01-01,-58.98,89.02,1.82
2016-01-01,-58.98,90.02,1.78
2016-01-01,-58.98,91.02,1.79
2016-01-01,-58.98,92.02,1.68
2016-01-01,-58.98,93.02,1.45
2016-01-01,-58.98,94.02,1.13
2016-01-01,-58.98,95.02,1.24
2016-01-01,-58.98,96.02,1.19
2016-01-01,-58.98,97.02,1.22
2016-01-01,-58.98,98.02,1.19
2016-01-01,-58.98,99.02,1.06
2016-01-01,-58.98,100.02,1.11
2016-01-01,-58.98,101.02,1.14
2016-01-01,-58.98,102.02,1.17
2016-01-01,-58.98,103.02,1.32
2016-01-01,-58.98,104.02,1.42
2016-01-01,-58.98,105.02,1.81
2016-01-01,-58.98,106.02,1.67
2016-01-01,-58.98,107.02,1.92
2016-01-01,-58.98,108.02,2.1
2016-01-01,-58.98,109.02,1.84
2016-01-01,-58.98,110.02,1.33
2016-01-01,-58.98,111.02,1.73
2016-01-01,-58.98,112.02,1.98
2016-01-01,-58.98,113.02,1.99
2016-01-01,-58.98,114.02,1.84
2016-01-01,-58.98,115.02,1.69
2016-01-01,-58.98,116.02,1.88
2016-01-01,-58.98,117.02,2.53
2016-01-01,-58.98,118.02,2.38
2016-01-01,-58.98,119.02,2.1
2016-01-01,-58.98,120.02,2.16
2016-01-01,-58.98,121.02,2.26
2016-01-01,-58.98,122.02,2.52
2016-01-01,-58.98,123.02,2.56
2016-01-01,-58.98,124.02,2.56
2016-01-01,-58.98,125.02,2.59
2016-01-01,-58.98,126.02,2.51
2016-01-01,-58.98,127.02,2.46
2016-01-01,-58.98,128.02,2.48
2016-01-01,-58.98,129.02,2.61
2016-01-01,-58.98,130.02,2.56
2016-01-01,-58.98,131.02,2.57
